Experiment	WaterTreat	NitroTreat	Rep	LAER	LASR	LAER2
A	Irrigated	200	1	0.0039	-0.0023	0.0014
A	Irrigated	200	2	0.0030	-0.0012	0.0014
A	Irrigated	200	3	0.0034	-0.0016	0.0015
A	Irrigated	200	4	0.0031	-0.0024	0.0015
A	RainFed	200	1	0.0021	-0.0006	0.0003
A	RainFed	200	2	0.0017	-0.0002	0.0009
A	RainFed	200	3	0.0028	-0.0012	0.0004
A	RainFed	200	4	0.0025	-0.0012	0.0003
B	Irrigated	0	1	0.0005	0.0012	0.0010
B	Irrigated	0	2	0.0022	-0.0031	0.0029
B	Irrigated	0	3	0.0014	-0.0005	0.0010
B	Irrigated	100	1	0.0023	-0.0020	0.0026
B	Irrigated	100	2	0.0011	-0.0003	0.0029
B	Irrigated	100	3	0.0023	-0.0013	0.0036
B	Irrigated	200	1	0.0031	-0.0029	0.0034
B	Irrigated	200	2	0.0021	-0.0017	0.0026
B	Irrigated	200	3	0.0024	-0.0005	0.0043
B	RainFed	0	1	0.0009	-0.0008	0.0008
B	RainFed	0	2	0.0010	-0.0007	0.0009
B	RainFed	0	3	0.0016	-0.0012	0.0002
B	RainFed	100	1	0.0021	-0.0012	0.0009
B	RainFed	100	2	0.0026	-0.0019	0.0010
B	RainFed	100	3	0.0019	-0.0007	0.0007
B	RainFed	200	1	0.0024	-0.0019	0.0003
B	RainFed	200	2	0.0029	-0.0007	0.0010
B	RainFed	200	3	0.0020	0.0010	0.0008
