Water	Year	Tt	Leaves
I	Y1	777.2	0.5
I	Y1	969.43	2.05
I	Y1	1035.8	2.4
I	Y1	1190.73	2.35
I	Y1	1263.14	2.6
I	Y1	1385.77	2.85
I	Y1	1738.94	4.75
I	Y1	1910.49	6.29
I	Y1	2003.05	9.84
I	Y1	2098.9	10.61
I	Y1	2228.33	11.88
I	Y1	2440.23	16.33
I	Y1	2496.92	18.49
I	Y1	2598.67	20.26
I	Y1	2665.71	22.18
I	Y1	2846.758	25
R	Y1	768.33	1
R	Y1	875.02	1.5
R	Y1	979.17	2.0417
R	Y1	1092.44	2.125
R	Y1	1247.06	3.9583
R	Y1	1417.98	4.5833
R	Y1	1593.64	6.1111
R	Y1	1675.15	6.9583
R	Y1	1908.64	8.4167
R	Y1	2018.63	9.2917
R	Y1	2290.82	11.9722
R	Y1	2520.79	15.6528
R	Y1	2678.957	22.9028
I	Y2	777.2	1.25
I	Y2	969.43	2.05
I	Y2	1035.8	2.55
I	Y2	1190.73	3.9
I	Y2	1263.14	4
I	Y2	1385.77	4
I	Y2	1738.94	4
I	Y2	1910.49	4.53
I	Y2	2003.05	7.81
I	Y2	2098.9	7.89
I	Y2	2228.33	8.7
I	Y2	2440.23	12.71
I	Y2	2496.92	13.71
I	Y2	2598.67	17.2
I	Y2	2665.71	19.19
I	Y2	2846.758	23
R	Y2	768.33	1
R	Y2	875.02	1.4
R	Y2	979.17	1.9583
R	Y2	1092.44	3.7917
R	Y2	1247.06	6.3333
R	Y2	1417.98	7.4167
R	Y2	1593.64	8.5417
R	Y2	1675.15	8.9167
R	Y2	1908.64	8.7917
R	Y2	2018.63	9.3056
R	Y2	2290.82	10.1806
R	Y2	2520.79	11.5556
R	Y2	2678.957	17.5
